,name,album_name,release_date,popularity,duration,danceability,valence,tempo,key,acousticness
0,Last Train Home,Sob Rock,2021-07-16,67,03:07,0.591,0.678,93.007,E,0.235
1,Shouldn't Matter but It Does,Sob Rock,2021-07-16,62,03:56,0.549,0.268,80.888,E,0.457
2,New Light,Sob Rock,2021-07-16,75,03:37,0.826,0.852,123.932,G,0.316
3,Why You No Love Me,Sob Rock,2021-07-16,58,04:15,0.635,0.501,97.988,A,0.387
4,Wild Blue,Sob Rock,2021-07-16,63,04:12,0.816,0.876,123.027,C,0.557
5,Shot in the Dark,Sob Rock,2021-07-16,62,04:09,0.741,0.587,122.008,D,0.0629
6,I Guess I Just Feel Like,Sob Rock,2021-07-16,69,04:46,0.548,0.166,159.952,E,0.515
7,Til the Right One Comes,Sob Rock,2021-07-16,60,03:39,0.807,0.925,112.985,D#/Eb,0.242
8,Carry Me Away,Sob Rock,2021-07-16,64,02:39,0.677,0.744,119.997,E,0.0117
9,All I Want Is to Be With You,Sob Rock,2021-07-16,58,04:04,0.522,0.304,93.049,C,0.106
10,Still Feel Like Your Man,The Search for Everything,2017-04-14,59,03:54,0.858,0.515,106.023,D,0.547
11,Emoji of a Wave,The Search for Everything,2017-04-14,56,03:59,0.494,0.191,165.764,B,0.772
12,Helpless,The Search for Everything,2017-04-14,55,04:09,0.76,0.937,103.977,A,0.151
13,Love on the Weekend,The Search for Everything,2017-04-14,65,03:32,0.718,0.422,119.971,G,0.623
14,In the Blood,The Search for Everything,2017-04-14,61,04:03,0.546,0.518,80.007,G#/Ab,0.386
15,Changing,The Search for Everything,2017-04-14,53,03:33,0.43,0.393,183.674,C,0.583
16,"Theme from ""The Search for Everything""",The Search for Everything,2017-04-14,45,01:51,0.595,0.362,90.973,G,0.896
17,Moving On and Getting Over,The Search for Everything,2017-04-14,57,04:25,0.85,0.621,94.037,F#/Gb,0.591
18,Never on the Day You Leave,The Search for Everything,2017-04-14,55,03:40,0.536,0.22,139.888,D,0.733
19,Rosie,The Search for Everything,2017-04-14,59,04:00,0.758,0.758,138.9,G,0.489
20,Roll it on Home,The Search for Everything,2017-04-14,53,03:22,0.612,0.712,154.945,D,0.623
21,You're Gonna Live Forever in Me,The Search for Everything,2017-04-14,73,03:10,0.542,0.319,136.161,G,0.983
22,Wildfire,Paradise Valley,2013-08-20,59,04:13,0.719,0.763,96.999,G#/Ab,0.15
23,Dear Marie,Paradise Valley,2013-08-20,57,03:42,0.601,0.494,94.999,A,0.796
24,Waitin' On The Day,Paradise Valley,2013-08-20,54,04:33,0.656,0.305,119.996,G,0.797
25,Paper Doll,Paradise Valley,2013-08-20,55,04:17,0.658,0.685,153.851,G,0.521
26,Call Me The Breeze,Paradise Valley,2013-08-20,48,03:25,0.628,0.892,174.096,C#/Db,0.424
